"Season
","Driver
","Age
","Constructor
","Tyres
","Poles 
","Wins
","Podiums
","F. Laps 
","Points 
","% Points 
","Clinched
","Margin
","% Margin 
"
2012,Sebastian Vettel,"25
",,Renault,,"6
","5
","10
","6
","281
","56.200
",Race 20 of 20,"3
"
2013,Sebastian Vettel,"26
",,Renault,,"9
","13
","16
","7
","397
","83.579
",Race 16 of 19,"155
"
2014,Lewis Hamilton,"29
",,Mercedes,,"7
","11
","16
","7
","384
","76.800
",Race 19 of 19,"67
"
2015,Lewis Hamilton,"30
",,Mercedes,,"11
","10
","17
","8
","381
","80.211
",Race 16 of 19,"59
"
2016,Nico Rosberg,"31
",,Mercedes,,"8
","9
","16
","6
","385
","73.333
",Race 21 of 21,"5
"
2017,Lewis Hamilton,"32
",,Mercedes,,"11
","9
","13
","7
","363
","72.600
",Race 18 of 20,"46
"
2018,Lewis Hamilton,"33
",,Mercedes,,"11
","11
","17
","3
","408
","77.714
",Race 19 of 21,"88
"
2019,Lewis Hamilton,"34
",,Mercedes,,"5
","11
","17
","6
","413
","75.641
",Race 19 of 21,"87
"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
